sno,hart,temp
497,476,98
498,484,98
499,480,98
500,468,98
501,453,98
502,422,98
503,426,98
504,453,98
505,438,98
506,446,98
507,451,98
508,461,98
509,449,98
510,462,98
511,443,98
512,370,98
513,433,98
514,496,98
515,468,98
516,513,98
517,529,98
518,545,98
519,559,98
520,722,98
521,557,98
522,572,98
523,603,98
